M_GRAPH	M_VOC
龍汰	りゅうた
愛琉	あいる
青已	あおい
碧泉	あおい
証	あかし
瑛斗	あきと
光音	あきと
晶人	あきと
明翔	あきと
旺	あきら
輝	あきら
朝陽	あさひ
蒼宙	あそら
敦士	あつし
天音	あまね
愛優	あゆ
歩海	あゆむ
亜瑠	ある
有翔	あると
亜蓮	あれん
伊織	いおり
一護	いちご
一隼	いちたか
壱仁	いちと
一路	いちろ
一朗	いちろう
一朗	いちろう
一絆	いつき
樹	いつき
樹生	いつき
一冴	いっさ
一清	いっせ
一誠	いっせい
伊吹己	いぶき
一颯	いぶき
歩希	いぶき
生汰	うた
樂	うた
海	うみ
英志	えいし
瑛介	えいすけ
瑛太	えいた
瑛大	えいた
瑛士	えいと
瑛人	えいと
瑛都	えいと
詠斗	えいと
越	えつ
桜助	おうすけ
桜亮	おうすけ
煌海	おうみ
夏維	かい
夏唯	かい
海	かい
海勢	かいせい
海晴	かいせい
海晴	かいせい
海晟	かいせい
開世	かいせい
快翔	かいと
海人	かいと
海斗	かいと
海斗	かいと
海斗	かいと
海翔	かいと
空翔	かいと
櫂翔	かいと
楓	かえで
翔	かける
一希	かずき
一樹	かずき
千輝	かずき
和希	かずき
和輝	かずき
和輝	かずき
一翔	かずと
一真	かずま
和慎	かずま
和真	かずま
夏向	かなた
哉多	かなた
奏太	かなた
奏太	かなた
叶人	かなと
翔要	かむい
恭嘉	きょうか
景吾	きょうご
希隆	きりゅう
空雅	くうが
空雅	くうが
空翔	くうと
慶一	けいいち
圭悟	けいご
恵伍	けいご
慶悟	けいご
慧士	けいし
慶次郎	けいじろう
圭佑	けいすけ
圭太	けいた
啓斗	けいと
慶人	けいと
謙信	けんしん
憲伸	けんしん
謙心	けんしん
兼正	けんせい
健人	けんと
健斗	けんと
健斗	けんと
建龍	けんりゅう
昊	こう
洸嘉	こうが
巧光	こうが
煌雅	こうが
光樹	こうき
光優樹	こうき
孝樹	こうき
幸起	こうき
弘樹	こうき
昂大	こうき
晃紀	こうき
皇希	こうき
航希	こうき
洸揮	こうき
煌己	こうき
幸志朗	こうしろう
幸志郎	こうしろう
康介	こうすけ
航汰	こうた
昊大	こうた
煌太	こうた
輝大郎	こうたろう
孝太郎	こうたろう
煌太郎	こうたろう
光人	こうと
鴻之介	こうのすけ
幸平	こうへい
航平	こうへい
航平	こうへい
昊平	こうへい
倖也	こうや
小太郎	こたろう
琥太郎	こたろう
虎弥大	こやた
彩智	さいち
朔磨	さくま
惺	さとる
三太	さんた
紫音	しおん
詞月	しづき
柊羽	しゅう
秀一郎	しゅういちろう
湊伍	しゅうご
宗佑	しゅうすけ
渋奨	じゅうすけ
秀翔	しゅうと
柊人	しゅうと
秀磨	しゅうま
修名	しゅうめい
瞬	しゅん
竣	しゅん
駿	しゅん
舜司	しゅんじ
俊祐	しゅんすけ
純成	じゅんせい
詢平	じゅんぺい
翔生	じょい
紫陽	しょう
星	しょう
翔	しょう
祐	じょう
奨太	しょうた
祥太	しょうた
翔太	しょうた
翔大	しょうた
翔大	しょうた
翔太郎	しょうたろう
聖真	しょうま
翔舞	しょうま
翔矢	しょうや
心	しん
仁	じん
迅	じん
慎三郎	しんざぶろう
心惺	しんせい
真太	しんた
心太郎	しんたろう
慎太郎	しんたろう
澄晴	すばる
昴	すばる
情我	せいが
清太朗	せいたろう
晴之介	せいのすけ
晟羽	せいは
聖也	せいや
聖也	せいや
聖也	せいや
聖那	せな
宣翔	せんと
千里	せんり
颯	そう
蒼一朗	そういちろう
創希	そうき
宗賢	そうけん
創史	そうし
奏士	そうし
創太	そうた
壮汰	そうた
奏太	そうた
蒼太	そうた
蒼太	そうた
颯太	そうた
颯太	そうた
颯太	そうた
颯大	そうた
颯大	そうた
宇宙	そら
宇宙	そら
奏空	そら
蒼空	そら
蒼空	そら
大空	そら
空翔	そらと
汰樺	たいが
泰雅	たいが
大雅	たいが
大雅	たいが
大凱	たいが
だいご	だいご
大悟	だいご
大剛	だいご
大珠	たいじゅ
大翼	だいすけ
太一	たいち
太一	たいち
太一	たいち
大宙	たいち
泰斗	たいと
